dataset,tier,variant,type,enroll,verify
cplfw,select,hard_bpsk,FalseReject,Boris_Jordan_1_0000,Boris_Jordan_3_0000
cplfw,select,hard_bpsk,FalseReject,Dwayne_Johnson_1_0000,Dwayne_Johnson_2_0000
cplfw,select,hard_bpsk,FalseReject,Kimora_Lee_2_0000,Kimora_Lee_3_0000
cplfw,select,hard_bpsk,FalseReject,Kate_Lee_1_0000,Kate_Lee_2_0000
cplfw,select,hard_bpsk,FalseReject,Priscilla_Presley_2_0000,Priscilla_Presley_3_0000
cplfw,select,hard_bpsk,FalseReject,Mary_Sue_Coleman_2_0000,Mary_Sue_Coleman_3_0000
cplfw,select,hard_bpsk,FalseReject,Bob_Stoops_1_0000,Bob_Stoops_3_0000
cplfw,select,hard_bpsk,FalseReject,Dusty_Baker_1_0000,Dusty_Baker_3_0000
cplfw,select,hard_bpsk,FalseReject,Tippi_Hedren_1_0000,Tippi_Hedren_2_0000
cplfw,select,hard_bpsk,FalseReject,Priscilla_Presley_1_0000,Priscilla_Presley_3_0000
cplfw,select,hard_bpsk,FalseReject,Ed_Sullivan_1_0000,Ed_Sullivan_3_0000
cplfw,select,hard_bpsk,FalseReject,Charles_Schumer_1_0000,Charles_Schumer_3_0000
cplfw,select,hard_bpsk,FalseReject,Svetislav_Pesic_1_0000,Svetislav_Pesic_3_0000
cplfw,select,hard_bpsk,FalseReject,Mary_Sue_Coleman_1_0000,Mary_Sue_Coleman_3_0000
cplfw,select,hard_bpsk,FalseReject,Don_Flanagan_1_0000,Don_Flanagan_2_0000
cplfw,select,hard_bpsk,FalseReject,John_Burkett_1_0000,John_Burkett_2_0000
cplfw,select,hard_bpsk,FalseReject,Prince_William_1_0000,Prince_William_2_0000
cplfw,select,hard_bpsk,FalseReject,Terry_Hoeppner_1_0000,Terry_Hoeppner_3_0000
cplfw,select,hard_bpsk,FalseReject,Juan_Ignacio_Chela_1_0000,Juan_Ignacio_Chela_2_0000
cplfw,select,hard_bpsk,FalseReject,Andre_Techine_1_0000,Andre_Techine_3_0000
cplfw,select,hard_bpsk,FalseReject,Patricia_Wartusch_1_0000,Patricia_Wartusch_2_0000
cplfw,select,hard_bpsk,FalseReject,Sarah_Hughes_1_0000,Sarah_Hughes_3_0000
cplfw,select,hard_bpsk,FalseReject,Joe_Crede_1_0000,Joe_Crede_2_0000
cplfw,select,hard_bpsk,FalseReject,Sarah_Hughes_2_0000,Sarah_Hughes_3_0000
cplfw,select,hard_bpsk,FalseReject,Harry_Kalas_1_0000,Harry_Kalas_2_0000
cplfw,select,hard_bpsk,FalseReject,Felipe_De_Borbon_2_0000,Felipe_De_Borbon_3_0000
cplfw,select,hard_bpsk,FalseReject,Don_Flanagan_1_0000,Don_Flanagan_3_0000
cplfw,select,hard_bpsk,FalseReject,Patricia_Wartusch_2_0000,Patricia_Wartusch_3_0000
cplfw,select,hard_bpsk,FalseReject,Harvey_Weinstein_1_0000,Harvey_Weinstein_2_0000
cplfw,select,hard_bpsk,FalseReject,Jonathan_Horton_1_0000,Jonathan_Horton_3_0000
cplfw,select,hard_bpsk,FalseReject,David_Zeplowitz_1_0000,David_Zeplowitz_3_0000
cplfw,select,hard_bpsk,FalseReject,Nanni_Moretti_2_0000,Nanni_Moretti_3_0000
cplfw,select,hard_bpsk,FalseReject,Nanni_Moretti_1_0000,Nanni_Moretti_2_0000
cplfw,select,hard_bpsk,FalseReject,Paula_Dobriansky_1_0000,Paula_Dobriansky_2_0000
cplfw,select,hard_bpsk,FalseReject,Megawati_Sukarnoputri_1_0000,Megawati_Sukarnoputri_2_0000
cplfw,select,hard_bpsk,FalseReject,Carly_Fiorina_1_0000,Carly_Fiorina_2_0000
cplfw,select,hard_bpsk,FalseReject,Jules_Asner_2_0000,Jules_Asner_3_0000
cplfw,select,hard_bpsk,FalseReject,Princess_Caroline_1_0000,Princess_Caroline_3_0000
cplfw,select,hard_bpsk,FalseReject,Kate_Burton_1_0000,Kate_Burton_2_0000
cplfw,select,hard_bpsk,FalseReject,Antonio_Catania_1_0000,Antonio_Catania_2_0000
cplfw,select,hard_bpsk,FalseReject,Jerry_Springer_1_0000,Jerry_Springer_2_0000
cplfw,select,hard_bpsk,FalseReject,Tung_Chee-hwa_1_0000,Tung_Chee-hwa_3_0000
cplfw,select,hard_bpsk,FalseReject,El_Hadji_Diouf_2_0000,El_Hadji_Diouf_3_0000
cplfw,select,hard_bpsk,FalseReject,El_Hadji_Diouf_1_0000,El_Hadji_Diouf_3_0000
cplfw,select,hard_bpsk,FalseReject,Jules_Asner_1_0000,Jules_Asner_3_0000
cplfw,select,hard_bpsk,FalseReject,Laurence_Tribe_1_0000,Laurence_Tribe_3_0000
cplfw,select,hard_bpsk,FalseReject,Jonathan_Horton_1_0000,Jonathan_Horton_2_0000
cplfw,select,hard_bpsk,FalseReject,Biljana_Plavsic_1_0000,Biljana_Plavsic_3_0000
cplfw,select,hard_bpsk,FalseReject,Marc-Andre_Fleury_1_0000,Marc-Andre_Fleury_3_0000
cplfw,select,hard_bpsk,FalseReject,Peter_Chan_2_0000,Peter_Chan_3_0000
cplfw,select,hard_bpsk,FalseReject,Chung_Mong-joon_1_0000,Chung_Mong-joon_2_0000
cplfw,select,hard_bpsk,FalseReject,Andrew_Luster_1_0000,Andrew_Luster_2_0000
cplfw,select,hard_bpsk,FalseReject,Diane_Lane_1_0000,Diane_Lane_3_0000
cplfw,select,hard_bpsk,FalseReject,Bernard_Landry_2_0000,Bernard_Landry_3_0000
cplfw,select,hard_bpsk,FalseReject,Chung_Mong-joon_2_0000,Chung_Mong-joon_3_0000
cplfw,select,hard_bpsk,FalseReject,Hana_Makhmalbaf_1_0000,Hana_Makhmalbaf_3_0000
cplfw,select,hard_bpsk,FalseReject,Hana_Makhmalbaf_2_0000,Hana_Makhmalbaf_3_0000
cplfw,select,hard_bpsk,FalseReject,Steven_Seagal_1_0000,Steven_Seagal_3_0000
cplfw,select,hard_bpsk,FalseReject,Danny_Ainge_2_0000,Danny_Ainge_3_0000
cplfw,select,hard_bpsk,FalseReject,David_Zeplowitz_1_0000,David_Zeplowitz_2_0000
cplfw,select,hard_bpsk,FalseReject,Renee_Zellweger_1_0000,Renee_Zellweger_3_0000
cplfw,select,hard_bpsk,FalseReject,Jessica_Lynch_2_0000,Jessica_Lynch_3_0000
cplfw,select,hard_bpsk,FalseReject,Sheryl_Crow_1_0000,Sheryl_Crow_3_0000
cplfw,select,hard_bpsk,FalseReject,Roseanne_Barr_1_0000,Roseanne_Barr_2_0000
cplfw,select,hard_bpsk,FalseReject,Greg_Kinnear_1_0000,Greg_Kinnear_3_0000
cplfw,select,hard_bpsk,FalseReject,Dustin_Hoffman_1_0000,Dustin_Hoffman_3_0000
cplfw,select,hard_bpsk,FalseReject,Alfonso_Portillo_2_0000,Alfonso_Portillo_3_0000
cplfw,select,hard_bpsk,FalseReject,Carlos_Barragan_1_0000,Carlos_Barragan_2_0000
cplfw,select,hard_bpsk,FalseReject,Dan_Wheldon_1_0000,Dan_Wheldon_2_0000
cplfw,select,hard_bpsk,FalseReject,Tony_Curtis_1_0000,Tony_Curtis_3_0000
cplfw,select,hard_bpsk,FalseReject,Asmaa_Assad_1_0000,Asmaa_Assad_2_0000
cplfw,select,hard_bpsk,FalseReject,Juan_Valencia_Osorio_2_0000,Juan_Valencia_Osorio_3_0000
cplfw,select,hard_bpsk,FalseReject,Pedro_Solbes_1_0000,Pedro_Solbes_2_0000
cplfw,select,hard_bpsk,FalseReject,Cristina_Fernandez_1_0000,Cristina_Fernandez_2_0000
cplfw,select,hard_bpsk,FalseReject,Lily_Safra_2_0000,Lily_Safra_3_0000
cplfw,select,hard_bpsk,FalseReject,Carla_Sullivan_2_0000,Carla_Sullivan_3_0000
cplfw,select,hard_bpsk,FalseReject,Madonna_1_0000,Madonna_2_0000
cplfw,select,hard_bpsk,FalseReject,Juan_Manuel_Marquez_2_0000,Juan_Manuel_Marquez_3_0000
cplfw,select,hard_bpsk,FalseReject,Andy_Roddick_1_0000,Andy_Roddick_3_0000
cplfw,select,hard_bpsk,FalseReject,Lech_Walesa_1_0000,Lech_Walesa_3_0000
cplfw,select,hard_bpsk,FalseReject,Fernando_Leon_de_Aranoa_1_0000,Fernando_Leon_de_Aranoa_3_0000
cplfw,select,hard_bpsk,FalseReject,Jaime_Pressly_1_0000,Jaime_Pressly_3_0000
cplfw,select,hard_bpsk,FalseReject,Nick_Cassavetes_1_0000,Nick_Cassavetes_2_0000
cplfw,select,hard_bpsk,FalseReject,Juan_Manuel_Marquez_1_0000,Juan_Manuel_Marquez_3_0000
cplfw,select,hard_bpsk,FalseReject,Wes_Craven_1_0000,Wes_Craven_2_0000
cplfw,select,hard_bpsk,FalseReject,Liza_Minnelli_1_0000,Liza_Minnelli_2_0000
cplfw,select,hard_bpsk,FalseReject,Terri_Clark_2_0000,Terri_Clark_3_0000
cplfw,select,hard_bpsk,FalseReject,Rick_Carlisle_1_0000,Rick_Carlisle_2_0000
cplfw,select,hard_bpsk,FalseReject,Wayne_Ferreira_1_0000,Wayne_Ferreira_3_0000
cplfw,select,hard_bpsk,FalseReject,Robbie_Williams_1_0000,Robbie_Williams_2_0000
cplfw,select,hard_bpsk,FalseReject,Jerry_Lewis_1_0000,Jerry_Lewis_2_0000
cplfw,select,hard_bpsk,FalseReject,Lisa_Marie_Presley_1_0000,Lisa_Marie_Presley_2_0000
cplfw,select,hard_bpsk,FalseReject,Severino_Antinori_1_0000,Severino_Antinori_3_0000
cplfw,select,hard_bpsk,FalseReject,Frank_Pallone_1_0000,Frank_Pallone_3_0000
cplfw,select,hard_bpsk,FalseReject,Jane_Leeves_1_0000,Jane_Leeves_3_0000
cplfw,select,hard_bpsk,FalseReject,Paris_Hilton_1_0000,Paris_Hilton_3_0000
cplfw,select,hard_bpsk,FalseReject,Clay_Aiken_1_0000,Clay_Aiken_3_0000
cplfw,select,hard_bpsk,FalseReject,Muhammad_Ali_1_0000,Muhammad_Ali_2_0000
cplfw,select,hard_bpsk,FalseReject,David_Bisbal_1_0000,David_Bisbal_3_0000
cplfw,select,hard_bpsk,FalseReject,Kate_Hudson_1_0000,Kate_Hudson_3_0000
cplfw,select,hard_bpsk,FalseReject,Kate_Hudson_1_0000,Kate_Hudson_2_0000
cplfw,select,hard_bpsk,FalseReject,Robbie_Williams_1_0000,Robbie_Williams_3_0000
cplfw,select,hard_bpsk,FalseReject,Robbie_Williams_2_0000,Robbie_Williams_3_0000
cplfw,select,hard_bpsk,FalseReject,Joshua_Gracin_1_0000,Joshua_Gracin_2_0000
cplfw,select,hard_bpsk,FalseReject,Marion_Barry_1_0000,Marion_Barry_2_0000
cplfw,select,hard_bpsk,FalseReject,Luciano_Bovicelli_2_0000,Luciano_Bovicelli_3_0000
cplfw,select,hard_bpsk,FalseReject,Jeff_Bridges_1_0000,Jeff_Bridges_3_0000
cplfw,select,hard_bpsk,FalseReject,Ian_Moran_1_0000,Ian_Moran_3_0000
cplfw,select,hard_bpsk,FalseReject,Patty_Sheehan_2_0000,Patty_Sheehan_3_0000
cplfw,select,hard_bpsk,FalseReject,Luciano_Bovicelli_1_0000,Luciano_Bovicelli_3_0000
cplfw,select,hard_bpsk,FalseReject,Bono_1_0000,Bono_2_0000
cplfw,select,hard_bpsk,FalseReject,Erin_Runnion_1_0000,Erin_Runnion_2_0000
cplfw,select,hard_bpsk,FalseReject,Derek_King_1_0000,Derek_King_3_0000
cplfw,select,hard_bpsk,FalseReject,Lenny_Wilkens_1_0000,Lenny_Wilkens_3_0000
cplfw,select,hard_bpsk,FalseReject,Keith_Van_Horn_1_0000,Keith_Van_Horn_2_0000
cplfw,select,hard_bpsk,FalseReject,Otto_Reich_1_0000,Otto_Reich_2_0000
cplfw,select,hard_bpsk,FalseReject,Rolandas_Paksas_1_0000,Rolandas_Paksas_3_0000
cplfw,select,hard_bpsk,FalseReject,Ben_Affleck_1_0000,Ben_Affleck_3_0000
cplfw,select,hard_bpsk,FalseReject,Gil_de_Ferran_1_0000,Gil_de_Ferran_2_0000
cplfw,select,hard_bpsk,FalseReject,Ivan_Shvedoff_1_0000,Ivan_Shvedoff_3_0000
cplfw,select,hard_bpsk,FalseReject,Ian_Thorpe_1_0000,Ian_Thorpe_2_0000
cplfw,select,hard_bpsk,FalseReject,Marty_Mornhinweg_1_0000,Marty_Mornhinweg_3_0000
cplfw,select,hard_bpsk,FalseReject,John_Fox_1_0000,John_Fox_2_0000
cplfw,select,hard_bpsk,FalseReject,Stanley_Tong_1_0000,Stanley_Tong_2_0000
cplfw,select,hard_bpsk,FalseReject,Mickey_Gilley_1_0000,Mickey_Gilley_3_0000
cplfw,select,hard_bpsk,FalseReject,Ian_Thorpe_2_0000,Ian_Thorpe_3_0000
cplfw,select,hard_bpsk,FalseReject,Isabelle_Huppert_1_0000,Isabelle_Huppert_3_0000
cplfw,select,hard_bpsk,FalseReject,Omar_Sharif_1_0000,Omar_Sharif_3_0000
cplfw,select,hard_bpsk,FalseReject,Ben_Broussard_1_0000,Ben_Broussard_2_0000
cplfw,select,hard_bpsk,FalseReject,Elena_Likhovtseva_1_0000,Elena_Likhovtseva_2_0000
cplfw,select,hard_bpsk,FalseReject,Jacques_Villeneuve_1_0000,Jacques_Villeneuve_2_0000
cplfw,select,hard_bpsk,FalseReject,Collis_Temple_III_1_0000,Collis_Temple_III_2_0000
cplfw,select,hard_bpsk,FalseReject,Hunter_Kemper_1_0000,Hunter_Kemper_3_0000
cplfw,select,hard_bpsk,FalseReject,Mae_Jemison_1_0000,Mae_Jemison_3_0000
cplfw,select,hard_bpsk,FalseReject,Angela_Alvarado_Rosa_2_0000,Angela_Alvarado_Rosa_3_0000
cplfw,select,hard_bpsk,FalseReject,Jim_Paxson_2_0000,Jim_Paxson_3_0000
cplfw,select,hard_bpsk,FalseReject,Conchita_Martinez_1_0000,Conchita_Martinez_3_0000
cplfw,select,hard_bpsk,FalseReject,Uma_Thurman_1_0000,Uma_Thurman_3_0000
cplfw,select,hard_bpsk,FalseReject,Liliana_Cavani_1_0000,Liliana_Cavani_2_0000
cplfw,select,hard_bpsk,FalseReject,Gil_de_Ferran_2_0000,Gil_de_Ferran_3_0000
cplfw,select,hard_bpsk,FalseReject,Patty_Sheehan_1_0000,Patty_Sheehan_2_0000
cplfw,select,hard_bpsk,FalseReject,Ben_Affleck_1_0000,Ben_Affleck_2_0000
cplfw,select,hard_bpsk,FalseReject,Amanda_Coetzer_1_0000,Amanda_Coetzer_2_0000
cplfw,select,hard_bpsk,FalseReject,Peter_Camejo_1_0000,Peter_Camejo_3_0000
cplfw,select,hard_bpsk,FalseReject,Tina_Andrews_2_0000,Tina_Andrews_3_0000
cplfw,select,hard_bpsk,FalseReject,Jose_Carlo_Fernandez_2_0000,Jose_Carlo_Fernandez_3_0000
cplfw,select,hard_bpsk,FalseReject,Ivan_Shvedoff_1_0000,Ivan_Shvedoff_2_0000
cplfw,select,hard_bpsk,FalseReject,Johnny_Benson_1_0000,Johnny_Benson_3_0000
cplfw,select,hard_bpsk,FalseReject,Jim_Paxson_1_0000,Jim_Paxson_3_0000
cplfw,select,hard_bpsk,FalseReject,Diego_Armando_Maradona_2_0000,Diego_Armando_Maradona_3_0000
cplfw,select,hard_bpsk,FalseReject,Hermann_Maier_1_0000,Hermann_Maier_3_0000
cplfw,select,hard_bpsk,FalseReject,Carlton_Dotson_1_0000,Carlton_Dotson_2_0000
cplfw,select,hard_bpsk,FalseReject,John_Wayne_1_0000,John_Wayne_3_0000
cplfw,select,hard_bpsk,FalseReject,Joe_Gatti_1_0000,Joe_Gatti_2_0000
cplfw,select,hard_bpsk,FalseReject,Jose_Carlo_Fernandez_1_0000,Jose_Carlo_Fernandez_2_0000
cplfw,select,hard_bpsk,FalseReject,Steve_Park_1_0000,Steve_Park_2_0000
cplfw,select,hard_bpsk,FalseReject,Tina_Andrews_1_0000,Tina_Andrews_3_0000
cplfw,select,hard_bpsk,FalseReject,Pedro_Martinez_1_0000,Pedro_Martinez_3_0000
cplfw,select,hard_bpsk,FalseReject,Boris_Henry_1_0000,Boris_Henry_3_0000
cplfw,select,hard_bpsk,FalseReject,Bill_Paxton_2_0000,Bill_Paxton_3_0000
cplfw,select,hard_bpsk,FalseReject,Juan_Roman_Riquelme_1_0000,Juan_Roman_Riquelme_2_0000
cplfw,select,hard_bpsk,FalseReject,Ramon_Delgado_1_0000,Ramon_Delgado_3_0000
cplfw,select,hard_bpsk,FalseReject,Pedro_Almodovar_1_0000,Pedro_Almodovar_3_0000
cplfw,select,hard_bpsk,FalseReject,Roger_Federer_1_0000,Roger_Federer_3_0000
cplfw,select,hard_bpsk,FalseReject,Gerard_Depardieu_1_0000,Gerard_Depardieu_2_0000
cplfw,select,hard_bpsk,FalseReject,Peter_Arnett_1_0000,Peter_Arnett_2_0000
cplfw,select,hard_bpsk,FalseReject,Boris_Henry_2_0000,Boris_Henry_3_0000
cplfw,select,hard_bpsk,FalseReject,Chris_Cornell_1_0000,Chris_Cornell_3_0000
cplfw,select,hard_bpsk,FalseReject,Ana_Claudia_Talancon_1_0000,Ana_Claudia_Talancon_2_0000
cplfw,select,hard_bpsk,FalseReject,Nicolas_Escude_2_0000,Nicolas_Escude_3_0000
cplfw,select,hard_bpsk,FalseReject,Christoph_Daum_2_0000,Christoph_Daum_3_0000
cplfw,select,hard_bpsk,FalseReject,Peter_Arnett_2_0000,Peter_Arnett_3_0000
cplfw,select,hard_bpsk,FalseReject,Jimmy_Iovine_1_0000,Jimmy_Iovine_3_0000
cplfw,select,hard_bpsk,FalseReject,Leszek_Miller_2_0000,Leszek_Miller_3_0000
cplfw,select,hard_bpsk,FalseReject,Parthiv_Patel_1_0000,Parthiv_Patel_2_0000
cplfw,select,hard_bpsk,FalseReject,Elisabeth_Welch_2_0000,Elisabeth_Welch_3_0000
cplfw,select,hard_bpsk,FalseReject,Toni_Braxton_1_0000,Toni_Braxton_3_0000
cplfw,select,hard_bpsk,FalseReject,Aishwarya_Rai_1_0000,Aishwarya_Rai_2_0000
cplfw,select,hard_bpsk,FalseReject,Winona_Ryder_2_0000,Winona_Ryder_3_0000
cplfw,select,hard_bpsk,FalseReject,Ellen_DeGeneres_1_0000,Ellen_DeGeneres_3_0000
cplfw,select,hard_bpsk,FalseReject,Inocencio_Arias_1_0000,Inocencio_Arias_3_0000
cplfw,select,hard_bpsk,FalseReject,Steve_Zahn_2_0000,Steve_Zahn_3_0000
cplfw,select,hard_bpsk,FalseReject,Wally_Szczerbiak_2_0000,Wally_Szczerbiak_3_0000
cplfw,select,hard_bpsk,FalseReject,Winona_Ryder_1_0000,Winona_Ryder_3_0000
cplfw,select,hard_bpsk,FalseReject,Scott_Weiland_2_0000,Scott_Weiland_3_0000
cplfw,select,hard_bpsk,FalseReject,Gordon_Lightfoot_1_0000,Gordon_Lightfoot_2_0000
cplfw,select,hard_bpsk,FalseReject,Troy_Garity_1_0000,Troy_Garity_3_0000
cplfw,select,hard_bpsk,FalseReject,Rosario_Dawson_1_0000,Rosario_Dawson_3_0000
cplfw,select,hard_bpsk,FalseReject,Pedro_Martinez_1_0000,Pedro_Martinez_2_0000
cplfw,select,hard_bpsk,FalseReject,Ali_Bin_Hussein_1_0000,Ali_Bin_Hussein_3_0000
cplfw,select,hard_bpsk,FalseReject,Alan_Zemaitis_2_0000,Alan_Zemaitis_3_0000
cplfw,select,hard_bpsk,FalseReject,Cristina_Saralegui_1_0000,Cristina_Saralegui_2_0000
cplfw,select,hard_bpsk,FalseReject,Kristin_Scott_1_0000,Kristin_Scott_2_0000
cplfw,select,hard_bpsk,FalseReject,Dominique_de_Villepin_1_0000,Dominique_de_Villepin_2_0000
cplfw,select,hard_bpsk,FalseReject,Billy_Beane_1_0000,Billy_Beane_2_0000
cplfw,select,hard_bpsk,FalseReject,Marissa_Jaret_Winokur_1_0000,Marissa_Jaret_Winokur_2_0000
cplfw,select,hard_bpsk,FalseReject,Dennis_Franchione_2_0000,Dennis_Franchione_3_0000
cplfw,select,hard_bpsk,FalseReject,Luis_Gonzalez_1_0000,Luis_Gonzalez_3_0000
cplfw,select,hard_bpsk,FalseReject,Carson_Palmer_1_0000,Carson_Palmer_2_0000
cplfw,select,hard_bpsk,FalseReject,Rupert_Murdoch_1_0000,Rupert_Murdoch_3_0000
cplfw,select,hard_bpsk,FalseReject,Mesut_Yilmaz_1_0000,Mesut_Yilmaz_2_0000
cplfw,select,hard_bpsk,FalseReject,Matt_Anderson_1_0000,Matt_Anderson_2_0000
cplfw,select,hard_bpsk,FalseReject,Paul_Pierce_1_0000,Paul_Pierce_3_0000
cplfw,select,hard_bpsk,FalseReject,Fayssal_Mekdad_1_0000,Fayssal_Mekdad_3_0000
cplfw,select,hard_bpsk,FalseReject,Bill_Curry_2_0000,Bill_Curry_3_0000
cplfw,select,hard_bpsk,FalseReject,Vanessa_Williams_1_0000,Vanessa_Williams_2_0000
cplfw,select,hard_bpsk,FalseReject,Joaquin_Sanchez_1_0000,Joaquin_Sanchez_3_0000
cplfw,select,hard_bpsk,FalseReject,Pedro_Pauleta_2_0000,Pedro_Pauleta_3_0000
cplfw,select,hard_bpsk,FalseReject,Elsa_Zylberstein_1_0000,Elsa_Zylberstein_2_0000
cplfw,select,hard_bpsk,FalseReject,Jan_Peter_Balkenende_1_0000,Jan_Peter_Balkenende_2_0000
cplfw,select,hard_bpsk,FalseReject,Kyra_Sedgwick_1_0000,Kyra_Sedgwick_2_0000
cplfw,select,hard_bpsk,FalseReject,Patti_Labelle_1_0000,Patti_Labelle_2_0000
cplfw,select,hard_bpsk,FalseReject,Martha_Sahagun_de_Fox_2_0000,Martha_Sahagun_de_Fox_3_0000
cplfw,select,hard_bpsk,FalseReject,Eduard_Shevardnadze_1_0000,Eduard_Shevardnadze_2_0000
cplfw,select,hard_bpsk,FalseReject,Roger_Machado_1_0000,Roger_Machado_3_0000
cplfw,select,hard_bpsk,FalseReject,Anthony_LaPaglia_2_0000,Anthony_LaPaglia_3_0000
cplfw,select,hard_bpsk,FalseReject,Vladimir_Putin_1_0000,Vladimir_Putin_2_0000
cplfw,select,hard_bpsk,FalseReject,Marta_Dominguz_2_0000,Marta_Dominguz_3_0000
cplfw,select,hard_bpsk,FalseReject,Eric_Lloyd_1_0000,Eric_Lloyd_3_0000
cplfw,select,hard_bpsk,FalseReject,Boris_Yeltsin_1_0000,Boris_Yeltsin_3_0000
cplfw,select,hard_bpsk,FalseReject,George_Gregan_1_0000,George_Gregan_3_0000
cplfw,select,hard_bpsk,FalseReject,Sam_Torrance_1_0000,Sam_Torrance_3_0000
cplfw,select,hard_bpsk,FalseReject,George_Gregan_2_0000,George_Gregan_3_0000
cplfw,select,hard_bpsk,FalseReject,Claudine_Farrell_2_0000,Claudine_Farrell_3_0000
cplfw,select,hard_bpsk,FalseReject,Charlotte_Church_2_0000,Charlotte_Church_3_0000
cplfw,select,hard_bpsk,FalseReject,Steve_Fehr_2_0000,Steve_Fehr_3_0000
cplfw,select,hard_bpsk,FalseReject,Liu_Ye_1_0000,Liu_Ye_2_0000
cplfw,select,hard_bpsk,FalseReject,Eduard_Shevardnadze_2_0000,Eduard_Shevardnadze_3_0000
cplfw,select,hard_bpsk,FalseReject,Elsa_Zylberstein_1_0000,Elsa_Zylberstein_3_0000
cplfw,select,hard_bpsk,FalseReject,Britney_Spears_2_0000,Britney_Spears_3_0000
